forest	plot	parcel	trat	litter	massloss90	massloss180
oak	C01	b	CxA	tree	27.642	23.58208955
oak	C01	b	CxM	mixture	17.488	12.31527094
oak	C01	c	CxF	bracken	26.040	18.30845771
oak	C01	c	CxA	tree	21.353	21.39303483
oak	C01	c	CxM	mixture	23.633	19.54590326
oak	C01	d	CxF	bracken	20.604	4.278606965
oak	C01	d	CxA	tree	18.761	14.271556
oak	C01	d	CxM	mixture	15.819	9.930486594
oak	C02	a	CxF	bracken	26.756	30.83832335
oak	C02	a	CxA	tree	32.368	45.35464535
oak	C02	a	CxM	mixture	28.0	33.93034826
oak	C02	b	CxF	bracken	11.868	30.66933067
oak	C02	b	CxA	tree	27.852	26.97302697
oak	C02	b	CxM	mixture	29.287	28.91089109
oak	C02	c	CxF	bracken	27.015	18.45771144
oak	C02	c	CxA	tree	25.926	26.89243028
oak	C02	c	CxM	mixture	27.725	28.64271457
oak	C02	d	CxF	bracken	20.120	21.25748503
oak	C02	d	CxA	tree	28.641	16.88311688
oak	C02	d	CxM	mixture	29.822	29.40594059
oak	C03	a	CxF	bracken	25.205	44.35564436
oak	C03	a	CxA	tree	26.204	28.54311199
oak	C03	a	CxM	mixture	19.692	33.92857143
oak	C03	b	CxF	bracken	15.235	22.87712288
oak	C03	b	CxA	tree	18.883	31.30608175
oak	C03	b	CxM	mixture	20.686	23.45924453
oak	C03	c	CxF	bracken	15.754	16.26984127
oak	C03	c	CxA	tree	38.749	42.50248262
oak	C03	c	CxM	mixture	24.045	23.67952522
oak	C03	d	CxF	bracken	13.429	21.47117296
oak	C03	d	CxA	tree	25.669	30.13972056
oak	C03	d	CxM	mixture	21.519	18.47070506
oak	C04	a	CxF	bracken	17.880	13.4
oak	C04	a	CxA	tree	17.876	26.42073779
oak	C04	a	CxM	mixture	19.421	25.31736527
oak	C04	b	CxF	bracken	10.10	17.41293532
oak	C04	b	CxA	tree	21.889	39.06560636
oak	C04	b	CxM	mixture	15.760	16.68321748
oak	C04	c	CxF	bracken	13.777	11.92842942
oak	C04	c	CxA	tree	24.965	35.42288557
oak	C04	c	CxM	mixture	20.475	21.8611276
oak	C04	d	CxF	bracken	18.242	14.99503476
oak	C04	d	CxA	tree	31.558	33.82936508
oak	C04	d	CxM	mixture	20.811	21.36498516
