forest	plot	parcel	denarb	diamarbo	altfent	densfen	hume	matorg	amon	nitrat	don	doc	fosfatos	basal	sir	coefmet	c10	c11	c12	c13	i14	c14	c14_1	i15	a15	c15	i16	c15_1	c16	c16_1c	a17	c17	cy17	c17_1c	c18	c18_1n9t	c18_1n9c	c18_1n7c	c18_2n6t	c18_2n6c	cy19	c18_3n6	c18_3n3	c20	totalPLFA	bacteria	hong_bact	hongos
pine	P04	a	964.4919709	130.3333333	174	96	0.173410405	0.251748252	20.77179323	9.10284534	96.20413158	692.7404954	23.76762635	6.526577885	28.84747425	0.226244344	0.098283043	0	0.142866102	0	0	0.367982882	0.018046835	0	0	0.075589955	0.160403058	0	5.513909249	0.320120628	0.498260202	0.33280894	7.992031487	0.037378175	2.283789138	0.09038787	0.189301799	6.737644835	0.08218394	0.073158744	0	0	0	0	25.01414688	16.15423728	0.013397971	0.435032352
pine	P04	b	1296.868391	127.6666667	122	80	0.221789883	0.305	27.07141132	13.56834908	82.39941622	410.6283201	35.45818069	8.469891945	22.35496071	0.378881988	0.094088739	0	0.14070166	0.002453153	0	0.347339141	0.10708133	0	0	0.054397982	0.103583666	0.041289679	5.596886169	0.156290315	0.570646116	0.326425694	0	0	2.247212779	0.091766445	0.188480169	7.320852777	0	0	0	0	0	0	17.38949581	8.53219655	0.016341182	0.280246614
pine	P04	c	1248.592133	106.3333333	89	112	0.194690265	0.153846154	7.271490539	9.791821258	91.51923918	1257.850581	17.9579911	4.519386786	16.72847646	0.27016129	0.280795335	0	0.874700556	0.160847086	0	3.4762609	0.07120565	9.397725111	3.653552049	0.606875707	3.21736543	0	17.15844741	0.010199218	3.19273087	1.508290821	8.059630465	0.738270615	2.396773059	0	0.355524258	18.8438489	0.241722552	0.261860512	7.007849667	0.105599112	0	0.653163218	82.27323851	56.23633886	0.007600363	0.859107322
pine	P04	d	1123.333899	53.33333333	113	144	0.173913043	0.292397661	10.61958189	7.249351849	70.09247992	860.0801136	12.95838167	5.980932093	17.21982647	0.347328244	0.106210246	0	0.185662206	0.011655956	0	0.632452177	0.192557426	2.090875118	0.072313381	0.120356724	0.467355837	0.094266608	7.503298093	0.366473287	1.049383994	0.518830497	8.05110848	0.193146443	2.276818516	0.068633897	0.192693474	7.437525658	0.101761873	0.082972618	3.463684885	0	0	0.082139655	35.36217705	23.83105431	0.009769537	0.446061862
oak	C01	a	431.2969666	83.66666667	86	64	0.258333333	0.269662921	15.07035928	11.12088581	97.98331867	1442.077482	29.54247195	7.011496122	35.20057237	0.199186992	0.160061309	0	0.219667427	0.048097831	0	1.043826711	0.166150038	4.33016472	0.399470895	0.257243445	0.546511717	0.113957044	12.00061406	0.17547591	0.577597535	1.020025754	8.047146558	0.208143662	2.738855882	0.099515973	0.180593331	8.431235705	0.109094769	0	6.889589385	0	0	0.201408155	47.96444782	30.88260529	0.006301348	0.389204074
oak	C01	b	249.2883887	122.3333333	73	112	0.276595745	0.284313725	8.943509621	15.51039475	124.315768	1261.310445	71.03369858	10.27322404	48.87335262	0.210200927	0.129592138	0	0.186807837	0	0	1.113172834	0.7499062	5.520815945	0.454701683	0.230447928	0.848970259	0	14.26373483	0.769540834	1.492436708	1.082368834	0	0.62712194	2.692685652	0.112940288	0.192469474	9.156766155	0.109000245	0	6.806426488	0	0	0.25304377	46.79295004	26.98959677	0.007563761	0.414410008
oak	C01	c	126.8158859	144.6666667	68	64	0.26875	0.282051282	9.099054863	17.25861382	68.63868337	1203.960308	48.45917209	5.440676408	43.01075269	0.126495726	0.218759687	0	0.360790666	0.079722324	0	1.838058884	0.217599859	13.11303526	3.37974485	0.441237857	2.64433362	0.102148348	17.2607232	2.625312476	3.493424142	1.648560466	8.039283953	1.559903422	2.943358344	0.11178754	0.460700864	24.44275403	0.32564856	0.077181531	7.014754678	0	0	0.316475836	93.74878904	69.43583339	0.006919373	0.975318495
oak	C01	d	262.8394948	101.6666667	107	48	0.275	0.25862069	9.597288766	11.73793403	108.4081247	1096.56522	71.92480002	5.832667698	44.94145239	0.129783694	0.147745267	0	0.275128036	0	0	1.425235458	0.635607907	5.750145753	0.950104978	0.298282424	1.055341192	0.12632374	14.69798797	0.962749726	1.47057445	1.187665982	7.95359923	0.567166418	2.911704122	0.090660967	0.208694248	9.521767933	0.126791106	0	6.827303875	0	0.092784516	0.230894262	57.51425956	36.54470196	0.005744315	0.426146321
oak	C02	a	413.8519145	128.6666667	44	48	0.252747253	0.294117647	25.33226704	15.33853051	148.663994	2350.340572	36.70889504	7.824654452	48.55673417	0.161144578	0.14617303	0	0.211421366	0	0	1.157803139	0	4.429515471	0.550239239	0.217025371	0.813570335	0.12604896	13.11610563	0.706790812	1.670525476	1.032873415	7.953185742	0.447429891	3.074898582	0.106215575	0.194110939	9.192128049	0.129413896	0	6.820345025	0	0	0.36011107	52.45593101	33.83362883	0.006256934	0.42974041
oak	C02	b	225.1507624	117.6666667	43	96	0.279527559	0.267759563	19.95722064	7.52477626	120.0324269	762.5641862	46.68463337	10.62755813	56.2811529	0.188829787	0.848279965	0	0.855291078	0.214653542	1.765002083	4.5474565	0.668631534	52.97437058	15.54004524	2.278635266	18.26442824	0.062081923	29.72267165	15.03174571	8.483844802	4.912078841	8.646483042	8.616622812	2.673733194	0.152313322	1.285330719	116.8048095	0.114081862	1.813438347	8.650500346	0.441115496	0.154101427	1.074588969	311.6313042	267.0035346	0.00627037	3.365164251
oak	C02	c	450.9983764	115	40	128	0.145454545	0.154255319	20.72027684	10.51656697	83.51347194	462.7798365	16.43156118	2.159149356	36.07049512	0.059859155	0.148536341	0	0.233670815	0	0	1.32281553	0.088887996	5.382535115	0.954796721	0.303551669	1.016195732	0	14.88213217	0.856111722	1.726314387	1.396569827	8.020172923	0.605063843	2.46603719	0.088196602	0.209749568	10.43063376	0.121502034	0.148429718	6.885963883	0	0	0.316562602	57.60443015	37.57790959	0.007518415	0.567877922
oak	C02	d	246.0643695	127.6666667	55	48	0.236	0.240837696	30.13792632	11.03036494	131.8726145	686.3746648	45.38597525	12.24142259	57.50621776	0.212871287	0.184552074	0	0.284530807	0.070698625	0	1.743057814	0.091583455	13.08709581	3.174701666	0.52415987	2.795982086	0	17.18378252	3.103032176	5.457343013	1.701253752	8.114066039	2.017238273	2.27649245	0.102130083	0.444416118	24.98183957	0.29056622	0.366487132	7.06900303	0.100819421	0.256354136	0.391185995	98.60844708	74.82179023	0.007963474	1.203599553
oak	C03	a	388.2444834	91	67	80	0.217054264	0.198019802	9.5330928	8.092489268	88.61946044	1058.337455	29.14793322	10.33462591	41.6876464	0.247906198	0.552606874	0.035163771	0.870084368	0.164449694	0.636909155	2.717537231	0.159655848	31.76202017	7.788692502	1.113664733	8.740147197	1.012300769	17.70821584	7.37257788	3.596243219	1.443127101	8.670632	3.094891671	2.94054262	0.146490836	1.198394746	34.66969679	1.020737514	1.139223213	8.329326667	0	0.12978001	0.351095733	147.3642082	117.2179291	0.014950129	3.50484631
oak	C03	b	324.9080238	89.33333333	116	96	0.268907563	0.252873563	12.74982504	9.051825324	87.31256328	1209.10038	22.9024083	7.675758456	35.17434943	0.218220339	0.200077555	0	0.326252721	0.097367889	0	1.088989548	1.241045482	8.819113272	1.242548853	0.312429978	1.55585846	0.228558997	9.642472262	1.11428714	1.327346128	0.683386542	8.115663872	0.53408714	2.360817411	0.093693229	0.324703227	13.27634743	0.250395598	0.093304887	6.998466372	0	0	0.181314	60.10852799	43.97953519	0.008664222	0.762096941
oak	C03	c	442.0789748	110.3333333	60	64	0.308176101	0.272727273	15.3371422	10.15766603	88.05255351	1076.991191	45.08713705	6.685838569	40.72982117	0.164150943	0.116727437	0	0.669516666	0.138173289	1.217533833	3.011906317	0.044520385	37.43252304	10.37747038	1.169231929	10.69717346	1.152341814	20.87767457	10.1451709	5.997581767	2.354179958	8.794228082	6.14261376	2.516349925	0.201117721	1.142524464	52.04222626	0.128025113	1.054338763	8.307238991	0	0.109091914	0.522371831	186.3618526	154.6771724	0.008165413	2.526006061
oak	C03	d	440.9826852	73.66666667	72	112	0.209386282	0.205479452	10.42105406	6.914625621	104.7892507	1505.043038	17.27816456	9.751630628	35.64152321	0.273603083	0	0	0.210832604	0.03081597	0	0.682818248	0.087601797	0	0	0.146555919	0.452554661	0.033846642	8.457269562	0.268627271	0.831390199	0.601586359	7.868797318	0.206898849	2.07405929	0	0.170665207	7.655982456	0.101858727	0.09694223	6.751456899	0	0	0.157256038	36.88781625	24.78384993	0.007307616	0.369466164
oak	C04	a	390.0587075	79.66666667	54	64	0.203252033	0.204081633	10.95520408	7.485539759	94.85174324	853.7065853	22.83990902	6.675941563	29.66320426	0.225058005	0.106744677	0	0	0.027484742	0	0.360728643	0.161743643	3.380144018	0	0.090914773	0.370159399	0	5.565374172	0.246064527	0.845129224	0.361360189	7.897639143	0.186349164	1.695326605	0	0.147227474	7.463250387	0.104402922	0	6.766629438	0	0	0.166021314	35.94269445	27.60764026	0.004467902	0.251630396
oak	C04	b	345.9464167	85	115	96	0.20754717	0.198412698	6.421814517	9.071571726	86.37037037	936.4134543	35.85023599	6.957698216	33.96183387	0.204868154	0.084551006	0	0.429460076	0.083113924	0	1.282627271	0.091911347	15.6868946	3.530412847	0.371157182	3.199382036	0.032558645	11.63409062	3.029996396	2.008179845	1.08042892	8.237157737	1.683368943	2.222674174	0.100644248	0.397013453	20.7826039	0.369766385	0.325914466	7.282457006	0	0.094489946	0.182215954	87.05315958	69.72212806	0.008515242	1.193338552
oak	C04	c	364.942277	88.66666667	157	96	0.198830409	0.167883212	9.312184909	10.76771059	78.64821908	701.1653345	42.38840842	5.910458435	33.83227932	0.174698795	0.158700869	0	0.276100655	0.036420103	0	0.846040162	0.086263855	7.287284642	1.375212751	0.207019655	1.426888106	0.200433598	8.641985983	1.1534308	1.86064307	0.668610245	8.065079127	0.55314806	1.923534222	0.096122261	0.414161955	16.19437853	0.19685787	0.17855346	6.99492634	0	0	0.221230685	59.063027	45.78662132	0.009623871	0.885695546
oak	C04	d	305.1013063	96	111	80	0.2578125	0.273684211	26.19253572	11.51133122	101.045343	912.8956764	69.59977211	9.40330328	37.0345483	0.25390625	0.111795865	0	0.151737242	0	0	0.488339363	0.087279672	3.583001226	0.101437212	0.110625055	0.522776455	0.065375331	6.849325175	0.291755496	0.865403527	0.467412135	7.931479629	0.241405502	1.878341951	0.095058257	0.153352785	8.277110136	0.109774755	0	6.79718986	0	0	0.167604677	39.34758131	29.18959623	0.006044832	0.358185797
